"Temperature","Rho 1","Rho 2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
8.4372,1,0.001,1,0.025344,0.125,0.075,0.23066
8.7337,1,0.001,1,0.0256,0.125,0.075,0.2304
9.0303,1,0.001,1,0.025856,0.125,0.075,0.23014
9.3268,1,0.001,1,0.026112,0.125,0.075,0.22989
9.6233,1,0.001,1,0.026368,0.125,0.075,0.22963
9.9199,1,0.001,1,0.026624,0.125,0.075,0.22938
10.216,1,0.001,1,0.02688,0.125,0.075,0.22912
10.513,1,0.001,1,0.027136,0.125,0.075,0.22886
10.809,1,0.001,1,0.027392,0.125,0.075,0.22861
11.106,1,0.001,1,0.027648,0.125,0.075,0.22835
11.403,1,0.001,1,0.027904,0.125,0.075,0.2281
11.699,1,0.001,1,0.02816,0.125,0.075,0.22784
11.996,1,0.001,1,0.028416,0.125,0.075,0.22758
12.292,1,0.001,1,0.028672,0.125,0.075,0.22733
12.589,1,0.001,1,0.028928,0.125,0.075,0.22707
12.885,1,0.001,1,0.029184,0.125,0.075,0.22682
13.182,1,0.001,1,0.02944,0.125,0.075,0.22656
13.478,1,0.001,1,0.029696,0.125,0.075,0.2263
13.775,1,0.001,1,0.029952,0.125,0.075,0.22605
14.071,1,0.001,1,0.030208,0.125,0.075,0.22579
14.368,1,0.001,1,0.030464,0.125,0.075,0.22554
14.664,1,0.001,1,0.03072,0.125,0.075,0.22528
14.974,1,0.001,1,0.030976,0.125,0.075,0.22502
15.285,1,0.001,1,0.031232,0.125,0.075,0.22477
15.595,1,0.001,1,0.031488,0.125,0.075,0.22451
15.905,1,0.001,1,0.031744,0.125,0.075,0.22426
16.215,1,0.001,1,0.032,0.125,0.075,0.224
16.525,1,0.001,1,0.032256,0.125,0.075,0.22374
16.835,1,0.001,1,0.032512,0.125,0.075,0.22349
17.145,1,0.001,1,0.032768,0.125,0.075,0.22323
17.455,1,0.001,1,0.033024,0.125,0.075,0.22298
17.765,1,0.001,1,0.03328,0.125,0.075,0.22272
18.075,1,0.001,1,0.033536,0.125,0.075,0.22246
18.385,1,0.001,1,0.033792,0.125,0.075,0.22221
18.695,1,0.001,1,0.034048,0.125,0.075,0.22195
19.005,1,0.001,1,0.034304,0.125,0.075,0.2217
19.315,1,0.001,1,0.03456,0.125,0.075,0.22144
19.625,1,0.001,1,0.034816,0.125,0.075,0.22118
19.935,1,0.001,1,0.035072,0.125,0.075,0.22093
20.245,1,0.001,1,0.035328,0.125,0.075,0.22067
20.555,1,0.001,1,0.035584,0.125,0.075,0.22042
20.866,1,0.001,1,0.03584,0.125,0.075,0.22016
21.176,1,0.001,1,0.036096,0.125,0.075,0.2199
21.486,1,0.001,1,0.036352,0.125,0.075,0.21965
21.796,1,0.001,1,0.036608,0.125,0.075,0.21939
22.106,1,0.001,1,0.036864,0.125,0.075,0.21914
22.416,1,0.001,1,0.03712,0.125,0.075,0.21888
22.726,1,0.001,1,0.037376,0.125,0.075,0.21862
23.036,1,0.001,1,0.037632,0.125,0.075,0.21837
23.346,1,0.001,1,0.037888,0.125,0.075,0.21811
23.656,1,0.001,1,0.038144,0.125,0.075,0.21786
23.966,1,0.001,1,0.0384,0.125,0.075,0.2176
24.276,1,0.001,1,0.038656,0.125,0.075,0.21734
24.586,1,0.001,1,0.038912,0.125,0.075,0.21709
24.896,1,0.001,1,0.039168,0.125,0.075,0.21683
25.206,1,0.001,1,0.039424,0.125,0.075,0.21658
25.516,1,0.001,1,0.03968,0.125,0.075,0.21632
25.826,1,0.001,1,0.039936,0.125,0.075,0.21606
26.136,1,0.001,1,0.040192,0.125,0.075,0.21581
26.446,1,0.001,1,0.040448,0.125,0.075,0.21555
26.757,1,0.001,1,0.040704,0.125,0.075,0.2153
27.067,1,0.001,1,0.04096,0.125,0.075,0.21504
27.361,1,0.001,1,0.041216,0.125,0.075,0.21478
27.656,1,0.001,1,0.041472,0.125,0.075,0.21453
27.951,1,0.001,1,0.041728,0.125,0.075,0.21427
28.245,1,0.001,1,0.041984,0.125,0.075,0.21402
28.54,1,0.001,1,0.04224,0.125,0.075,0.21376
28.835,1,0.001,1,0.042496,0.125,0.075,0.2135
29.13,1,0.001,1,0.042752,0.125,0.075,0.21325
29.424,1,0.001,1,0.043008,0.125,0.075,0.21299
29.719,1,0.001,1,0.043264,0.125,0.075,0.21274
30.014,1,0.001,1,0.04352,0.125,0.075,0.21248
30.308,1,0.001,1,0.043776,0.125,0.075,0.21222
30.603,1,0.001,1,0.044032,0.125,0.075,0.21197
30.898,1,0.001,1,0.044288,0.125,0.075,0.21171
31.193,1,0.001,1,0.044544,0.125,0.075,0.21146
31.487,1,0.001,1,0.0448,0.125,0.075,0.2112
31.782,1,0.001,1,0.045056,0.125,0.075,0.21094
32.077,1,0.001,1,0.045312,0.125,0.075,0.21069
32.371,1,0.001,1,0.045568,0.125,0.075,0.21043
32.666,1,0.001,1,0.045824,0.125,0.075,0.21018
32.961,1,0.001,1,0.04608,0.125,0.075,0.20992
33.256,1,0.001,1,0.046336,0.125,0.075,0.20966
33.55,1,0.001,1,0.046592,0.125,0.075,0.20941
33.845,1,0.001,1,0.046848,0.125,0.075,0.20915
34.14,1,0.001,1,0.047104,0.125,0.075,0.2089
34.434,1,0.001,1,0.04736,0.125,0.075,0.20864
34.729,1,0.001,1,0.047616,0.125,0.075,0.20838
35.024,1,0.001,1,0.047872,0.125,0.075,0.20813
35.319,1,0.001,1,0.048128,0.125,0.075,0.20787
