"Kappa_Tau:0","Kappa_Tau:1","Rho 1","Rho 2","Temperature","Velocity:0","Velocity:1","Velocity:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.021678,3.6442e-05,1,0,40.787,0,0,-1,1,0.016384,0.125,0.075,0.23962
0.021678,3.6442e-05,1,0,41.302,0,0,-1,1,0.01664,0.125,0.075,0.23936
0.021678,3.6442e-05,1,0,41.817,0,0,-1,1,0.016896,0.125,0.075,0.2391
0.021678,3.6442e-05,1,0,42.332,0,0,-1,1,0.017152,0.125,0.075,0.23885
0.021678,3.6442e-05,1,0,42.846,0,0,-1,1,0.017408,0.125,0.075,0.23859
0.021678,3.6442e-05,1,0,43.361,0,0,-1,1,0.017664,0.125,0.075,0.23834
0.021678,3.6442e-05,1,0,43.876,0,0,-1,1,0.01792,0.125,0.075,0.23808
0.021678,3.6442e-05,1,0,44.391,0,0,-1,1,0.018176,0.125,0.075,0.23782
0.021678,3.6442e-05,1,0,44.906,0,0,-1,1,0.018432,0.125,0.075,0.23757
0.021678,3.6442e-05,1,0,45.42,0,0,-1,1,0.018688,0.125,0.075,0.23731
0.021678,3.6442e-05,1,1.6446e-16,45.935,1.2582e-15,0,-1,1,0.018944,0.125,0.075,0.23706
0.021678,3.6442e-05,1,0,46.45,0,0,-1,1,0.0192,0.125,0.075,0.2368
0.021678,3.6442e-05,1,0,46.965,0,0,-1,1,0.019456,0.125,0.075,0.23654
0.021678,3.6442e-05,1,0,47.48,0,0,-1,1,0.019712,0.125,0.075,0.23629
0.021678,3.6442e-05,1,0,47.994,0,0,-1,1,0.019968,0.125,0.075,0.23603
0.021678,3.6442e-05,1,0,48.509,0,0,-1,1,0.020224,0.125,0.075,0.23578
0.021678,3.6442e-05,1,0,49.024,0,0,-1,1,0.02048,0.125,0.075,0.23552
0.021678,3.6442e-05,1,0,49.385,0,0,-1,1,0.020736,0.125,0.075,0.23526
0.021678,3.6442e-05,1,0,49.746,0,0,-1,1,0.020992,0.125,0.075,0.23501
