1,-37.4641,0.005,-0.195,0.005,-0.045,0.005,-0.195,-0.045,0.005,-0.145,-0.045,0.005,-0.045,0.678742,-0.778742
2,-32.7676,0.00450753,-0.194781,0.00236217,-0.0426358,0.00269986,-0.192974,-0.0426358,0.00236217,-0.145264,-0.0448178,0.00245799,-0.04254,0.68083,-0.78083
3,-35.2549,0.00475376,-0.194889,0.00366292,-0.0437982,0.00383143,-0.193967,-0.0437982,0.00366292,-0.145131,-0.0449084,0.00371094,-0.0437502,0.679637,-0.779637
4,-36.3043,0.00483938,-0.194927,0.00412355,-0.0442114,0.00423339,-0.194321,-0.0442114,0.00412355,-0.145085,-0.0449401,0.00415489,-0.0441801,0.679261,-0.779261
5,-36.7325,0.00488187,-0.194946,0.00435378,-0.0444183,0.00443454,-0.194499,-0.0444183,0.00435378,-0.145062,-0.0449559,0.00437684,-0.0443952,0.679107,-0.779107
6,-36.9411,0.00490749,-0.194958,0.00449316,-0.0445436,0.0045564,-0.194607,-0.0445436,0.00449316,-0.145049,-0.0449654,0.00451123,-0.0445255,0.679023,-0.779023
7,-37.0586,0.00492475,-0.194966,0.00458732,-0.0446283,0.00463875,-0.19468,-0.0446283,0.00458732,-0.14504,-0.0449719,0.00460202,-0.0446136,0.67897,-0.77897
8,-37.1409,0.00493722,-0.194971,0.00465546,-0.0446896,0.00469836,-0.194733,-0.0446896,0.00465546,-0.145033,-0.0449765,0.00466772,-0.0446774,0.678931,-0.778931
9,-36.7193,0.00488423,-0.194946,0.00429814,-0.0443602,0.00443494,-0.194498,-0.0443804,0.0043173,-0.14506,-0.0449582,0.00438484,-0.0444034,0.679105,-0.779105
10,-36.8036,0.00489303,-0.19495,0.00435729,-0.0444147,0.00447857,-0.194537,-0.0444315,0.0043733,-0.145056,-0.0449612,0.00443171,-0.0444488,0.679074,-0.779074
